Date,Purchase,NAV,Withdrawal
2013-06-07,1.3091,1.3071,1.3057
2013-06-11,1.3142,1.3122,1.3108
2013-06-12,1.3054,1.3034,1.3020
2013-06-13,1.3032,1.3012,1.2998
2013-06-14,1.3273,1.3253,1.3239
2013-06-17,1.3386,1.3365,1.3351
2013-06-18,1.3333,1.3313,1.3299
2013-06-19,1.3471,1.3450,1.3436
2013-06-20,1.3203,1.3183,1.3169
2013-06-21,1.3132,1.3112,1.3098
2013-06-24,1.2986,1.2966,1.2953
2013-06-25,1.2975,1.2955,1.2942
2013-06-26,1.3190,1.3170,1.3156
2013-06-27,1.3450,1.3429,1.3415
2013-06-28,1.3423,1.3402,1.3388
2013-07-01,1.3084,1.3064,1.3050
2013-07-02,1.3386,1.3365,1.3351
2013-07-03,1.3122,1.3102,1.3088
2013-07-04,1.3265,1.3245,1.3231
2013-07-05,1.3406,1.3385,1.3371
2013-07-08,1.3382,1.3361,1.3347
2013-07-09,1.3562,1.3541,1.3527
2013-07-10,1.3619,1.3598,1.3584
2013-07-11,1.3768,1.3747,1.3733
2013-07-12,1.3795,1.3774,1.3760
2013-07-15,1.3829,1.3808,1.3794
2013-07-16,1.3864,1.3843,1.3829
2013-07-17,1.3840,1.3819,1.3805
2013-07-18,1.3872,1.3851,1.3837
2013-07-19,1.3858,1.3837,1.3823
2013-07-22,1.3945,1.3924,1.3910
2013-07-23,1.3975,1.3954,1.3940
2013-07-24,1.4029,1.4007,1.3992
2013-07-25,1.3967,1.3946,1.3932
2013-07-26,1.4004,1.3983,1.3969
2013-07-29,1.4025,1.4003,1.3988
2013-07-30,1.4020,1.3999,1.3985
2013-07-31,1.4069,1.4047,1.4032
2013-08-01,1.4076,1.4054,1.4039
2013-08-02,1.4230,1.4208,1.4193
2013-08-05,1.4243,1.4221,1.4206
2013-08-06,1.4212,1.4190,1.4175
2013-08-07,1.3960,1.3939,1.3925
2013-08-08,1.4103,1.4081,1.4066
2013-08-09,1.4041,1.4019,1.4004
2013-08-12,1.4168,1.4146,1.4131
2013-08-13,1.4324,1.4302,1.4287
2013-08-14,1.4340,1.4318,1.4303
2013-08-15,1.4336,1.4314,1.4299
2013-08-16,1.4218,1.4196,1.4181
2013-08-19,1.4292,1.4270,1.4255
2013-08-20,1.4230,1.4208,1.4193
2013-08-21,1.4300,1.4278,1.4263
2013-08-22,1.4250,1.4228,1.4213
2013-08-23,1.4356,1.4334,1.4319
2013-08-26,1.4415,1.4393,1.4378
2013-08-27,1.4432,1.4410,1.4395
2013-08-28,1.4296,1.4274,1.4259
2013-08-29,1.4290,1.4268,1.4253
2013-08-30,1.4419,1.4397,1.4382
2013-09-02,1.4619,1.4597,1.4582
2013-09-03,1.4650,1.4628,1.4613
2013-09-04,1.4558,1.4536,1.4521
2013-09-05,1.4522,1.4500,1.4485
2013-09-06,1.4548,1.4526,1.4511
2013-09-09,1.4661,1.4639,1.4624
2013-09-10,1.4726,1.4703,1.4688
2013-09-11,1.4792,1.4769,1.4754
2013-09-12,1.4819,1.4796,1.4781
2013-09-13,1.4770,1.4747,1.4732
2013-09-16,1.4862,1.4839,1.4824
2013-09-17,1.4900,1.4877,1.4862
2013-09-18,1.4840,1.4817,1.4802
2013-09-19,1.4980,1.4957,1.4942
2013-09-20,1.4965,1.4942,1.4927
2013-09-23,1.4904,1.4881,1.4866
2013-09-24,1.4834,1.4811,1.4796
2013-09-25,1.4939,1.4916,1.4901
2013-09-26,1.4999,1.4976,1.4961
2013-09-27,1.5023,1.5000,1.4985
2013-09-30,1.4775,1.4752,1.4737
2013-10-01,1.4533,1.4511,1.4496
2013-10-02,1.4561,1.4539,1.4524
2013-10-03,1.4580,1.4558,1.4543
2013-10-04,1.4522,1.4500,1.4485
2013-10-07,1.4370,1.4348,1.4333
2013-10-08,1.4335,1.4313,1.4298
2013-10-09,1.4389,1.4367,1.4352
2013-10-10,1.4404,1.4382,1.4367
2013-10-11,1.4657,1.4635,1.4620
2013-10-14,1.4587,1.4565,1.4550
2013-10-15,1.4703,1.4680,1.4665
2013-10-16,1.4683,1.4661,1.4646
2013-10-17,1.4741,1.4718,1.4703
2013-10-18,1.4867,1.4844,1.4829
2013-10-21,1.4939,1.4916,1.4901
2013-10-22,1.4975,1.4952,1.4937
2013-10-23,1.4907,1.4884,1.4869
2013-10-24,1.4976,1.4953,1.4938
2013-10-25,1.5034,1.5011,1.4995
2013-10-28,1.5176,1.5153,1.5137
2013-10-29,1.5134,1.5111,1.5095
2013-10-30,1.5168,1.5145,1.5129
2013-10-31,1.5149,1.5126,1.5110
2013-11-01,1.5107,1.5084,1.5068
2013-11-04,1.5070,1.5047,1.5031
2013-11-05,1.5168,1.5145,1.5129
2013-11-06,1.5177,1.5154,1.5138
2013-11-07,1.5176,1.5153,1.5137
2013-11-08,1.5185,1.5162,1.5146
2013-11-11,1.5131,1.5108,1.5092
2013-11-12,1.5130,1.5107,1.5091
2013-11-13,1.4942,1.4919,1.4904
2013-11-14,1.5008,1.4985,1.4970
2013-11-15,1.5135,1.5112,1.5096
2013-11-18,1.5095,1.5072,1.5056
2013-11-19,1.5016,1.4993,1.4978
2013-11-20,1.4920,1.4897,1.4882
2013-11-21,1.4840,1.4817,1.4802
2013-11-22,1.4982,1.4959,1.4944
2013-11-25,1.5035,1.5012,1.4996
2013-11-26,1.5038,1.5015,1.4999
2013-11-27,1.4980,1.4957,1.4942
2013-11-28,1.4933,1.4910,1.4895
2013-11-29,1.4857,1.4834,1.4819
2013-12-02,1.4765,1.4742,1.4727
2013-12-03,1.4693,1.4670,1.4655
2013-12-04,1.4748,1.4725,1.4710
2013-12-05,1.4502,1.4480,1.4465
2013-12-06,1.4465,1.4443,1.4428
2013-12-09,1.4409,1.4387,1.4372
2013-12-10,1.4410,1.4388,1.4373
2013-12-11,1.4325,1.4303,1.4288
2013-12-12,1.4249,1.4227,1.4212
2013-12-13,1.4345,1.4323,1.4308
2013-12-16,1.4385,1.4363,1.4348
2013-12-17,1.4484,1.4462,1.4447
2013-12-18,1.4388,1.4366,1.4351
2013-12-19,1.4666,1.4644,1.4629
2013-12-20,1.4800,1.4777,1.4762
2013-12-23,1.4914,1.4891,1.4876
2013-12-24,1.5030,1.5007,1.4991
2013-12-27,1.5038,1.5015,1.4999
2013-12-30,1.5095,1.5072,1.5056
2013-12-31,1.5080,1.5057,1.5041
2014-01-02,1.4863,1.4840,1.4825
2014-01-03,1.4808,1.4785,1.4770
2014-01-06,1.4735,1.4712,1.4697
2014-01-07,1.4711,1.4688,1.4673
2014-01-08,1.4713,1.4690,1.4675
2014-01-09,1.4724,1.4701,1.4686
2014-01-10,1.4733,1.4710,1.4695
2014-01-13,1.4667,1.4645,1.4630
2014-01-14,1.4449,1.4427,1.4412
2014-01-15,1.4547,1.4525,1.4510
2014-01-16,1.4704,1.4681,1.4666
2014-01-17,1.4655,1.4633,1.4618
2014-01-20,1.4603,1.4581,1.4566
2014-01-21,1.4687,1.4665,1.4650
2014-01-22,1.4662,1.4640,1.4625
2014-01-23,1.4512,1.4490,1.4475
2014-01-24,1.4433,1.4411,1.4396
2014-01-28,1.4302,1.4280,1.4265
2014-01-29,1.4402,1.4380,1.4365
2014-01-30,1.4275,1.4253,1.4238
2014-01-31,1.4297,1.4275,1.4260
2014-02-03,1.4282,1.4260,1.4245
2014-02-04,1.4047,1.4025,1.4010
2014-02-05,1.3947,1.3926,1.3912
2014-02-06,1.4140,1.4118,1.4103
2014-02-07,1.4184,1.4162,1.4147
2014-02-10,1.4320,1.4298,1.4283
2014-02-11,1.4416,1.4394,1.4379
2014-02-12,1.4552,1.4530,1.4515
2014-02-13,1.4579,1.4557,1.4542
2014-02-14,1.4683,1.4661,1.4646
2014-02-17,1.4759,1.4736,1.4721
2014-02-18,1.4739,1.4716,1.4701
2014-02-19,1.4758,1.4735,1.4720
2014-02-20,1.4779,1.4756,1.4741
2014-02-21,1.4847,1.4824,1.4809
2014-02-24,1.4886,1.4863,1.4848
2014-02-25,1.4866,1.4843,1.4828
2014-02-26,1.4937,1.4914,1.4899
2014-02-27,1.4842,1.4819,1.4804
2014-02-28,1.4842,1.4819,1.4804
2014-03-03,1.4842,1.4819,1.4804
2014-03-04,1.4882,1.4859,1.4844
2014-03-05,1.4992,1.4969,1.4954
2014-03-06,1.4985,1.4962,1.4947
2014-03-07,1.5063,1.5040,1.5024
2014-03-10,1.5027,1.5004,1.4988
2014-03-11,1.5029,1.5006,1.4990
2014-03-12,1.4935,1.4912,1.4897
2014-03-13,1.4969,1.4946,1.4931
2014-03-14,1.4764,1.4741,1.4726
2014-03-17,1.4735,1.4712,1.4697
2014-03-18,1.4791,1.4768,1.4753
2014-03-19,1.4862,1.4839,1.4824
2014-03-20,1.4691,1.4668,1.4653
2014-03-21,1.4791,1.4768,1.4753
2014-03-24,1.4804,1.4781,1.4766
2014-03-25,1.4792,1.4769,1.4754
2014-03-26,1.4894,1.4871,1.4856
2014-03-27,1.4851,1.4828,1.4813
2014-03-28,1.4907,1.4884,1.4869
2014-03-31,1.4963,1.4940,1.4925
2014-04-01,1.4828,1.4805,1.4790
2014-04-02,1.4840,1.4817,1.4802
2014-04-03,1.4875,1.4852,1.4837
2014-04-04,1.4891,1.4868,1.4853
2014-04-07,1.4881,1.4858,1.4843
2014-04-08,1.4879,1.4856,1.4841
2014-04-09,1.5027,1.5004,1.4988
2014-04-10,1.5090,1.5067,1.5051
2014-04-11,1.4938,1.4915,1.4900
2014-04-14,1.4754,1.4731,1.4716
2014-04-15,1.4834,1.4811,1.4796
2014-04-16,1.4931,1.4908,1.4893
2014-04-17,1.5033,1.5010,1.4994
2014-04-22,1.5126,1.5103,1.5087
2014-04-23,1.5220,1.5197,1.5181
2014-04-24,1.5264,1.5241,1.5225
2014-04-28,1.5295,1.5272,1.5256
2014-04-29,1.5136,1.5113,1.5097
2014-04-30,1.5138,1.5115,1.5099
2014-05-01,1.5055,1.5032,1.5016
2014-05-02,1.5082,1.5059,1.5043
2014-05-05,1.5081,1.5058,1.5042
2014-05-06,1.5127,1.5104,1.5088
2014-05-07,1.5026,1.5003,1.4987
2014-05-08,1.5137,1.5114,1.5098
2014-05-09,1.5143,1.5120,1.5104
2014-05-12,1.5118,1.5095,1.5079
2014-05-13,1.5225,1.5202,1.5186
2014-05-14,1.5289,1.5266,1.5250
2014-05-15,1.5340,1.5317,1.5301
2014-05-16,1.5266,1.5243,1.5227
2014-05-19,1.5085,1.5062,1.5046
2014-05-20,1.5126,1.5103,1.5087
2014-05-21,1.5169,1.5146,1.5130
2014-05-22,1.5290,1.5267,1.5251
2014-05-23,1.5333,1.5310,1.5294
2014-05-26,1.5367,1.5343,1.5327
2014-05-27,1.5345,1.5322,1.5306
2014-05-28,1.5390,1.5366,1.5350
2014-05-29,1.5415,1.5391,1.5375
2014-05-30,1.5361,1.5337,1.5321
2014-06-02,1.5480,1.5456,1.5440
2014-06-03,1.5366,1.5342,1.5326
2014-06-04,1.5281,1.5258,1.5242
2014-06-05,1.5222,1.5199,1.5183
2014-06-06,1.5278,1.5255,1.5239
2014-06-10,1.5325,1.5302,1.5286
2014-06-11,1.5265,1.5242,1.5226
2014-06-12,1.5194,1.5171,1.5155
2014-06-13,1.5186,1.5163,1.5147
2014-06-16,1.5199,1.5176,1.5160
2014-06-17,1.5177,1.5154,1.5138
2014-06-18,1.5051,1.5028,1.5012
2014-06-19,1.5271,1.5248,1.5232
2014-06-20,1.5166,1.5143,1.5127
2014-06-23,1.5233,1.5210,1.5194
2014-06-24,1.5178,1.5155,1.5139
2014-06-25,1.5121,1.5098,1.5082
2014-06-26,1.5330,1.5307,1.5291
2014-06-27,1.5273,1.5250,1.5234
2014-06-30,1.5140,1.5117,1.5101
2014-07-01,1.4796,1.4773,1.4758
2014-07-02,1.5009,1.4986,1.4971
2014-07-03,1.5123,1.5100,1.5084
2014-07-04,1.5206,1.5183,1.5167
2014-07-07,1.5176,1.5153,1.5137
2014-07-08,1.5138,1.5115,1.5099
2014-07-09,1.4979,1.4956,1.4941
2014-07-10,1.5005,1.4982,1.4967
2014-07-11,1.5064,1.5041,1.5025
2014-07-14,1.5091,1.5068,1.5052
2014-07-15,1.5099,1.5076,1.5060
2014-07-16,1.5121,1.5098,1.5082
2014-07-17,1.5139,1.5116,1.5100
2014-07-18,1.5167,1.5144,1.5128
2014-07-21,1.5187,1.5164,1.5148
2014-07-22,1.5185,1.5162,1.5146
2014-07-23,1.5267,1.5244,1.5228
2014-07-24,1.5281,1.5258,1.5242
2014-07-25,1.5290,1.5267,1.5251
2014-07-28,1.5279,1.5256,1.5240
2014-07-29,1.5338,1.5315,1.5299
2014-07-30,1.5461,1.5437,1.5421
2014-07-31,1.5454,1.5430,1.5414
2014-08-01,1.5236,1.5213,1.5197
2014-08-04,1.5216,1.5193,1.5177
2014-08-05,1.5164,1.5141,1.5125
2014-08-06,1.5146,1.5123,1.5107
2014-08-07,1.5126,1.5103,1.5087
2014-08-08,1.4954,1.4931,1.4916
2014-08-11,1.4990,1.4967,1.4952
2014-08-12,1.5215,1.5192,1.5176
2014-08-13,1.5159,1.5136,1.5120
2014-08-14,1.5226,1.5203,1.5187
2014-08-15,1.5260,1.5237,1.5221
2014-08-18,1.5328,1.5305,1.5289
2014-08-19,1.5480,1.5456,1.5440
2014-08-20,1.5555,1.5531,1.5515
2014-08-21,1.5551,1.5527,1.5511
2014-08-22,1.5552,1.5528,1.5512
2014-08-25,1.5523,1.5499,1.5483
2014-08-26,1.5561,1.5537,1.5521
2014-08-27,1.5607,1.5583,1.5567
2014-08-28,1.5515,1.5491,1.5475
2014-08-29,1.5549,1.5525,1.5509
2014-09-01,1.5602,1.5578,1.5562
2014-09-02,1.5691,1.5667,1.5651
2014-09-03,1.5720,1.5696,1.5680
2014-09-04,1.5644,1.5620,1.5604
2014-09-05,1.5551,1.5527,1.5511
2014-09-08,1.5512,1.5488,1.5472
2014-09-09,1.5544,1.5520,1.5504
2014-09-10,1.5453,1.5429,1.5413
2014-09-11,1.5355,1.5332,1.5316
2014-09-12,1.5296,1.5273,1.5257
2014-09-15,1.5124,1.5101,1.5085
2014-09-16,1.5033,1.5010,1.4994
2014-09-17,1.4883,1.4860,1.4845
2014-09-18,1.4865,1.4842,1.4827
2014-09-19,1.4908,1.4885,1.4870
2014-09-22,1.4681,1.4659,1.4644
2014-09-23,1.4850,1.4827,1.4812
2014-09-24,1.4750,1.4727,1.4712
2014-09-25,1.4723,1.4700,1.4685
2014-09-26,1.4542,1.4520,1.4505
2014-09-29,1.4411,1.4389,1.4374
2014-09-30,1.4509,1.4487,1.4472
2014-10-01,1.4453,1.4431,1.4416
2014-10-02,1.4371,1.4349,1.4334
2014-10-03,1.4446,1.4424,1.4409
2014-10-06,1.4388,1.4366,1.4351
2014-10-07,1.4349,1.4327,1.4312
2014-10-08,1.4260,1.4238,1.4223
2014-10-09,1.4364,1.4342,1.4327
2014-10-10,1.4073,1.4051,1.4036
2014-10-13,1.3999,1.3978,1.3964
2014-10-14,1.4128,1.4106,1.4091
2014-10-15,1.4223,1.4201,1.4186
2014-10-16,1.4259,1.4237,1.4222
2014-10-17,1.4311,1.4289,1.4274
2014-10-20,1.4433,1.4411,1.4396
2014-10-21,1.4435,1.4413,1.4398
2014-10-22,1.4588,1.4566,1.4551
2014-10-23,1.4591,1.4569,1.4554
2014-10-24,1.4675,1.4653,1.4638
2014-10-27,1.4764,1.4741,1.4726
2014-10-28,1.4734,1.4711,1.4696
2014-10-29,1.4721,1.4698,1.4683
2014-10-30,1.4812,1.4789,1.4774
2014-10-31,1.4958,1.4935,1.4920
2014-11-03,1.4929,1.4906,1.4891
2014-11-04,1.4977,1.4954,1.4939
2014-11-05,1.4934,1.4911,1.4896
2014-11-06,1.4885,1.4862,1.4847
2014-11-07,1.5053,1.5030,1.5014
2014-11-10,1.5011,1.4988,1.4973
2014-11-11,1.4995,1.4972,1.4957
2014-11-12,1.4885,1.4862,1.4847
2014-11-13,1.4837,1.4814,1.4799
2014-11-14,1.4838,1.4815,1.4800
2014-11-17,1.4732,1.4709,1.4694
2014-11-18,1.4680,1.4658,1.4643
2014-11-19,1.4590,1.4568,1.4553
2014-11-20,1.4516,1.4494,1.4479
2014-11-21,1.4439,1.4417,1.4402
2014-11-24,1.4588,1.4566,1.4551
2014-11-25,1.4515,1.4493,1.4478
2014-11-26,1.4671,1.4649,1.4634
2014-11-27,1.4669,1.4647,1.4632
2014-11-28,1.4420,1.4398,1.4383
2014-12-01,1.4134,1.4112,1.4097
2014-12-02,1.4278,1.4256,1.4241
2014-12-03,1.4408,1.4386,1.4371
2014-12-04,1.4546,1.4524,1.4509
2014-12-05,1.4479,1.4457,1.4442
2014-12-08,1.4501,1.4479,1.4464
2014-12-09,1.4282,1.4260,1.4245
2014-12-10,1.4227,1.4205,1.4190
2014-12-11,1.4162,1.4140,1.4125
2014-12-12,1.4167,1.4145,1.4130
2014-12-15,1.4139,1.4117,1.4102
2014-12-16,1.4019,1.3998,1.3984
2014-12-17,1.4064,1.4042,1.4027
2014-12-18,1.4244,1.4222,1.4207
2014-12-19,1.4590,1.4568,1.4553
2014-12-22,1.4847,1.4824,1.4809
2014-12-23,1.4688,1.4666,1.4651
2014-12-24,1.4737,1.4714,1.4699
2014-12-29,1.4944,1.4921,1.4906
2014-12-30,1.4794,1.4771,1.4756
2014-12-31,1.4802,1.4779,1.4764
2015-01-02,1.4652,1.4630,1.4615
2015-01-05,1.4702,1.4679,1.4664
